file	class	field	type	optional	decorators
/opt/rh-saas/backend/src/modules/super-admin/dto/update-client.dto.ts	UpdateClientDto	tradeName	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-client.dto.ts	UpdateClientDto	legalName	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-client.dto.ts	UpdateClientDto	documentNumber	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-client.dto.ts	UpdateClientDto	timezone	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-client.dto.ts	UpdateClientDto	defaultLocale	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-client.dto.ts	UpdateClientDto	notes	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-client.dto.ts	UpdateClientDto	planId	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-module.dto.ts	UpdateModuleDto	enabled	boolean	NAO	@IsBoolean()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-plan.dto.ts	UpdatePlanDto	name	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-plan.dto.ts	UpdatePlanDto	description	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/update-plan.dto.ts	UpdatePlanDto	is_active	boolean	SIM	@IsOptional() @IsBoolean()
/opt/rh-saas/backend/src/modules/tenant/dto/update-tenant.dto.ts	UpdateTenantDto	corporateName	string	SIM	
/opt/rh-saas/backend/src/modules/tenant/dto/update-tenant.dto.ts	UpdateTenantDto	tradingName	string	SIM	
/opt/rh-saas/backend/src/modules/tenant/dto/update-tenant.dto.ts	UpdateTenantDto	isActive	boolean	SIM	
/opt/rh-saas/backend/src/modules/tenant/dto/update-tenant.dto.ts	UpdateTenantDto	phone	string	SIM	
/opt/rh-saas/backend/src/modules/tenant/dto/update-tenant.dto.ts	UpdateTenantDto	email	string	SIM	
/opt/rh-saas/backend/src/modules/tenant/dto/update-tenant.dto.ts	UpdateTenantDto	address	string	SIM	
/opt/rh-saas/backend/src/modules/tenant/dto/update-tenant.dto.ts	UpdateTenantDto	website	string	SIM	
/opt/rh-saas/backend/src/modules/tenant/dto/update-tenant.dto.ts	UpdateTenantDto	hrManager	string	SIM	
/opt/rh-saas/backend/src/modules/tenant/dto/update-tenant.dto.ts	UpdateTenantDto	logoUrl	string	SIM	
